taxonid,taxoncode,taxonname,author,ecolgroup,highertaxonid,status,taxagroupid,publicationid,uncertaintytype,certainty_level_conservative,certainty_level_permissive,taxonname_updated,taxonname_updated_original,MDD_species,MDD_species_id,MDD_normalized_original_combination,MDD_validity,sciName,subclass,infraclass,magnorder,superorder,order,suborder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet
25665,Ner,Neuryurus,"Ameghino, 1889",CING,6095,extinct,MAM,8291,NA,NA,NA,Neuryurus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25666,Ner.ru,Neuryurus rudis,"Gervais, 1878",CING,25665,extinct,MAM,8291,NA,NA,NA,Neuryurus rudis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25667,Ner.tr,Neuryurus trabeculatus,"Zurita & Ferrero, 2009",CING,25665,extinct,MAM,8296,NA,NA,NA,Neuryurus trabeculatus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13616,Notdae,Nothrotheriidae,"Ameghino, 1920",PILO,6905,extinct,MAM,5087,NA,NA,NA,Nothrotheriidae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,?Not.sp,?Nothrotheriops sp.,"Hoffstetter, 1954",PILO,6171,extinct,MAM,1541,?,family,genus,Nothrotheriops,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6884,Not,Nothrotheriops,"Hoffstetter, 1954",PILO,13616,extinct,MAM,1541,NA,NA,NA,Nothrotheriops,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6311,Not.sp,Nothrotheriops sp.,"Hoffstetter, 1954",PILO,6884,extinct,MAM,1541,NA,NA,NA,Nothrotheriops,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13618,cf.Not.sp,cf. Nothrotheriops sp.,"Hoffstetter, 1954",PILO,6905,extinct,MAM,1541,cf,family,genus,Nothrotheriops,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44434,[Nor.me],Nothrotheriops mexicanum,"Freudenberg, 1921",NA,NA,extinct,MAM,17160,NA,NA,NA,Nothrotheriops mexicanum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13617,?Not.sh,?Nothrotheriops shastensis,"(Sinclair, 1905)",PILO,6905,extinct,MAM,1588,?,family,species,Nothrotheriops shastensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6309,Not.sh,Nothrotheriops shastensis,"(Sinclair, 1905)",PILO,6884,extinct,MAM,1588,NA,NA,NA,Nothrotheriops shastensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7275,cf.Not.sh,cf. Nothrotheriops shastensis,"(Sinclair, 1905)",PILO,6905,extinct,MAM,1588,cf,genus,species,Nothrotheriops shastensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6310,Not.tx,Nothrotheriops texanus,"(Hay, 1916)",PILO,6884,extinct,MAM,1588,NA,NA,NA,Nothrotheriops texanus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25708,Noh,Nothrotherium,"Lydekker, 1889",PILO,13616,extinct,MAM,8315,NA,NA,NA,Nothrotherium,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25709,Noh.ma,Nothrotherium maquinese,"Lund, 1839",PILO,25708,extinct,MAM,8316,NA,NA,NA,Nothrotherium maquinese,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25814,Noi,Notiomastodon,"Cabrera, 1929",PROB,6102,extinct,MAM,8349,NA,NA,NA,Notiomastodon,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25815,Noi.pl,Notiomastodon platensis,"Ameghino, 1888",PROB,25814,extinct,MAM,8349,NA,NA,NA,Notiomastodon platensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6313,Nsx.ja,Notiosorex jacksoni,"Hibbard, 1950",SORI,6885,extinct,MAM,1541,NA,NA,NA,Notiosorex jacksoni,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10064,Nto,Notolagus,"Wilson, 1938",LAGO,6151,extinct,MAM,1534,NA,NA,NA,Notolagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10065,Nto.le,Notolagus lepusculus,"(Hibbard, 1939)",LAGO,10064,extinct,MAM,1534,NA,NA,NA,Notolagus lepusculus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13607,cf.Nto.le,cf. Notolagus lepusculus,"(Hibbard, 1939)",LAGO,6136,extant,MAM,1520,cf,genus,species,Notolagus lepusculus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22509,Nooata,Notoungulata,"Roth, 1903",NOTO,6171,extant,MAM,1574,NA,NA,NA,Notoungulata,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35205,Och.cf.wh,Ochotona cf. O. whartoni,"Guthrie & Matthews, 1971",LAGO,6888,extinct,MAM,1541,cf,genus,species,Ochotona whartoni,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13646,Och.wh,Ochotona whartoni,"Guthrie & Matthews, 1971",LAGO,6888,extinct,MAM,1541,NA,NA,NA,Ochotona whartoni,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13723,cf.Och.wh,cf. Ochotona whartoni,"Guthrie & Matthews, 1971",LAGO,6322,extinct,MAM,1541,cf,genus,species,Ochotona whartoni,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25697,Ocn,Ocnotherium,"Lund, 1842",PILO,6257,extinct,MAM,8310,NA,NA,NA,Ocnotherium,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25698,Ocn.gi,Ocnotherium giganteum,"Lund, 1842",PILO,25697,extinct,MAM,8310,NA,NA,NA,Ocnotherium giganteum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65684,Odo,Odobeninae,"Allen, 1880",CARN,6328,extant,MAM,NA,NA,NA,NA,Odobeninae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65685,Ode,Odobenini,"Allen, 1880",CARN,6328,extant,MAM,NA,NA,NA,NA,Odobenini,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13483,Odcini,Odocoileini,"Pocock, 1923",ARTI,13484,extant,MAM,1516,NA,NA,NA,Odocoileini,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13863,Odcini.sp,Odocoileini sp.,"Pocock, 1923",ARTI,13483,extant,MAM,1516,NA,NA,NA,Odocoileini,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13481,Odc.br,Odocoileus brachyodontus,"Oelrich, 1953",ARTI,6893,extinct,MAM,5098,NA,NA,NA,Odocoileus brachyodontus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13482,cf.Odc.br,cf. Odocoileus brachyodontus,"Oelrich, 1953",ARTI,5935,extinct,MAM,5098,cf,genus,species,Odocoileus brachyodontus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15336,[Odc.ca],Odocoileus cascensis,"Frick, 1937",NA,NA,extant,MAM,1541,NA,NA,NA,Odocoileus cascensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15338,[Odc.en],Odocoileus ensifer,"(Cope, 1889)",NA,NA,extant,MAM,1541,NA,NA,NA,Odocoileus ensifer,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42903,Odc.ha,Odocoileus halli,"Álvarez, 1969",ARTI,6893,extinct,MAM,16815,NA,NA,NA,Odocoileus halli,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25790,Odc.sa,Odocoileus salinae,"Ameghino, 1891",ARTI,5935,extant,MAM,8342,NA,NA,NA,Odocoileus salinae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15339,[Odc.sh],Odocoileus sheridanus,"Frick, 1937",NA,NA,extant,MAM,1541,NA,NA,NA,Odocoileus sheridanus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14724,Odc.vi.ap,Odocoileus virginianus aplodon,"Slaughter et al., 1962",ARTI,6332,extinct,MAM,3296,NA,NA,NA,Odocoileus virginianus aplodon,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14194,Odoeti,Odontoceti,"Flower, 1867",CETA,5898,extant,MAM,1523,NA,NA,NA,Odontoceti,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13416,Ogm,Ogmodontomys,"Hibbard, 1941",RODE,6711,extinct,MAM,5069,NA,NA,NA,Ogmodontomys,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13814,Ogm.sp,Ogmodontomys sp.,"Hibbard, 1941",RODE,13416,extinct,MAM,5069,NA,NA,NA,Ogmodontomys,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13421,Ogm.po,Ogmodontomys poaphagus,"Hibbard, 1941",RODE,13416,extinct,MAM,5069,NA,NA,NA,Ogmodontomys poaphagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13813,Ogm.po.po,Ogmodontomys poaphagus poaphagus,"Hibbard, 1941",RODE,13421,extinct,MAM,5069,NA,NA,NA,Ogmodontomys poaphagus poaphagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13417,Ogm.sa,Ogmodontomys sawrockensis,"Hibbard, 1957",RODE,13416,extinct,MAM,5069,NA,NA,NA,Ogmodontomys sawrockensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35646,Ond.an,Ondatra annectens,"Brown, 1908",RODE,6894,extinct,MAM,1541,NA,NA,NA,Ondatra annectens,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35647,Ond.cf.an,Ondatra cf. O. annectens,"Brown, 1908",RODE,6894,extinct,MAM,1541,cf,genus,species,Ondatra annectens,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
